Energy
(MeV)	Elec. Stopping Power
(MeV cm2 g-1)	Ionizing Dose*
(MeV g-1)	Ionizing Dose*
(Gy)
5.5000e+01	3.2610e+03	3.2610e+03	5.2260e-07
6.0000e+01	3.0530e+03	3.0530e+03	4.8926e-07
6.5000e+01	2.8710e+03	2.8710e+03	4.6010e-07
7.0000e+01	2.7110e+03	2.7110e+03	4.3446e-07
7.5000e+01	2.5680e+03	2.5680e+03	4.1154e-07
8.0000e+01	2.4400e+03	2.4400e+03	3.9103e-07
8.5000e+01	2.3250e+03	2.3250e+03	3.7260e-07
9.0000e+01	2.2210e+03	2.2210e+03	3.5593e-07
9.5000e+01	2.1260e+03	2.1260e+03	3.4071e-07
1.0000e+02	2.0390e+03	2.0390e+03	3.2676e-07
